date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:37	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:37%20GMT	http://acrotel/images/sitemap/bg_tit1.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/sitemap/bg_tit1.gif	(from http://acrotel/common/css/content.css?v=20211231073449)
19:42:38	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:37%20GMT	http://acrotel/images/sustainability/ico7_1_1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/sustainability/ico7_1_1.png	(from http://acrotel/common/css/board.css?v=20211231073449)
19:42:38	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:38%20GMT	http://acrotel/images/common/ico/bg_tit1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/bg_tit1.png	(from http://acrotel/common/css/board.css?v=20211231073449)
19:42:38	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:38%20GMT	http://acrotel/images/common/ico/ico_home2.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/ico_home2.png	(from http://acrotel/common/css/board.css?v=20211231073449)
19:42:38	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:38%20GMT	http://acrotel/images/common/ico/ico_back1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/ico_back1.png	(from http://acrotel/common/css/board.css?v=20211231073449)
19:42:39	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:38%20GMT	http://acrotel/images/common/ico/ico_qna1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/ico_qna1.png	(from http://acrotel/common/css/board.css?v=20211231073449)
19:42:39	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:39%20GMT	http://acrotel/images/common/ico/bg_line1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/bg_line1.png	(from http://acrotel/common/css/board.css?v=20211231073449)
19:42:39	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:39%20GMT	http://acrotel/images/common/ico/ico_loding.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/ico_loding.gif	(from http://acrotel/common/css/board.css?v=20211231073449)
19:42:39	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:39%20GMT	http://acrotel/images/main/btn_slide1.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/main/btn_slide1.gif	(from http://acrotel/common/css/slick/slick.css?v=20211231073449)
19:42:40	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:39%20GMT	http://acrotel/images/main/btn_slide1.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/main/btn_slide1.gif	(from http://acrotel/common/css/slick/slick.css?v=20211231073449)
19:42:42	771287/771287	UR-M--	200	updated ('Partial%20Content')	image/jpeg	etag:%2212843b6-bc4d7-61af1e78%22	http://acrotel/images/unit/pent.jpg?v=1	C:/My%20Web%20Sites/acrotel/acrotel/images/unit/pent3860.jpg	(from http://acrotel/unit/type.php)
19:42:42	0/-1	---M--	302	error ('')			http://acrotel/images/common/ico/dot2.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/dot2.f5.delayed	(from http://acrotel/common/css/base.css?v=20211231074100)
19:42:42	0/-1	---M--	302	error ('')			http://acrotel/images/common/bul_sqr1.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/common/bul_sqr1.f6.delayed	(from http://acrotel/common/css/base.css?v=20211231074100)
19:42:42	0/-1	---M--	302	error ('')			http://acrotel/common/css/images/common/btn_bul1.png	C:/My%20Web%20Sites/acrotel/acrotel/common/css/images/common/btn_bul1.f7.delayed	(from http://acrotel/common/css/content.css?v=20211231074100)
19:42:42	0/-1	---M--	302	error ('')			http://acrotel/images/common/btn_gnb1.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/common/btn_gnb1.f8.delayed	(from http://acrotel/common/css/content.css?v=20211231074100)
19:42:43	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:42%20GMT	http://acrotel/reserve/images/bg1.png	C:/My%20Web%20Sites/acrotel/acrotel/reserve/images/bg1.png	(from http://acrotel/common/css/content.css?v=20211231074100)
19:42:43	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:42%20GMT	http://acrotel/reserve/images/bg2.png	C:/My%20Web%20Sites/acrotel/acrotel/reserve/images/bg2.png	(from http://acrotel/common/css/content.css?v=20211231074100)
19:42:43	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:43%20GMT	http://acrotel/images/sitemap/bg_tit1.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/sitemap/bg_tit1.gif	(from http://acrotel/common/css/content.css?v=20211231074100)
19:42:43	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:43%20GMT	http://acrotel/images/sustainability/ico7_1_1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/sustainability/ico7_1_1.png	(from http://acrotel/common/css/board.css?v=20211231074100)
19:42:44	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:43%20GMT	http://acrotel/images/common/ico/bg_tit1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/bg_tit1.png	(from http://acrotel/common/css/board.css?v=20211231074100)
19:42:44	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:43%20GMT	http://acrotel/images/common/ico/ico_home2.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/ico_home2.png	(from http://acrotel/common/css/board.css?v=20211231074100)
19:42:44	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:44%20GMT	http://acrotel/images/common/ico/ico_back1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/ico_back1.png	(from http://acrotel/common/css/board.css?v=20211231074100)
19:42:44	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:44%20GMT	http://acrotel/images/common/ico/ico_qna1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/ico_qna1.png	(from http://acrotel/common/css/board.css?v=20211231074100)
19:42:44	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:44%20GMT	http://acrotel/images/common/ico/bg_line1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/bg_line1.png	(from http://acrotel/common/css/board.css?v=20211231074100)
19:42:45	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:44%20GMT	http://acrotel/images/common/ico/ico_loding.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/ico_loding.gif	(from http://acrotel/common/css/board.css?v=20211231074100)
19:42:45	0/-1	---M--	302	error ('')			http://acrotel/images/common/ico/dot2.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/dot2.103.delayed	(from http://acrotel/common/css/base.css?v=20211231074102)
19:42:45	0/-1	---M--	302	error ('')			http://acrotel/images/common/bul_sqr1.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/common/bul_sqr1.104.delayed	(from http://acrotel/common/css/base.css?v=20211231074102)
19:42:45	0/-1	---M--	302	error ('')			http://acrotel/common/css/images/common/btn_bul1.png	C:/My%20Web%20Sites/acrotel/acrotel/common/css/images/common/btn_bul1.105.delayed	(from http://acrotel/common/css/content.css?v=20211231074102)
19:42:45	0/-1	---M--	302	error ('')			http://acrotel/images/common/btn_gnb1.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/common/btn_gnb1.106.delayed	(from http://acrotel/common/css/content.css?v=20211231074102)
